framenum,queue density
1,0.260052
2,0.255295
3,0.252656
4,0.248542
5,0.244271
6,0.244028
7,0.244583
8,0.248958
9,0.250174
10,0.258576
11,0.266927
12,0.271997
13,0.281372
14,0.290868
15,0.293594
16,0.300365
17,0.307222
18,0.308524
19,0.315399
20,0.314045
21,0.317378
22,0.323003
23,0.326476
24,0.32941
25,0.32849
26,0.327656
27,0.328056
28,0.323958
29,0.32309
30,0.322483
31,0.319844
32,0.320625
33,0.320538
34,0.319045
35,0.321233
36,0.322413
37,0.320208
38,0.322639
39,0.325
40,0.323507
41,0.325347
42,0.325156
43,0.322674
44,0.320538
45,0.308628
46,0.309462
47,0.306146
48,0.306111
49,0.304826
50,0.303403
51,0.304601
52,0.301424
53,0.301458
54,0.299323
55,0.298819
56,0.298785
57,0.297656
58,0.29809
59,0.298177
60,0.299427
61,0.297969
62,0.298993
63,0.297917
64,0.298056
65,0.298229
66,0.297205
67,0.297448
68,0.295851
69,0.295938
70,0.290538
71,0.29158
72,0.292674
73,0.293854
74,0.295972
75,0.29625
76,0.298021
77,0.297118
78,0.297205
79,0.295729
80,0.297066
81,0.298438
82,0.299549
83,0.302118
84,0.303785
85,0.308333
86,0.314653
87,0.317569
88,0.325764
89,0.334358
90,0.33691
91,0.343351
92,0.349514
93,0.351163
94,0.359635
95,0.368021
96,0.370625
97,0.376753
98,0.382378
99,0.388681
100,0.393385
101,0.398056
102,0.400799
103,0.406389
104,0.407656
105,0.408038
106,0.407344
107,0.407639
108,0.407274
109,0.406858
110,0.403125
111,0.405139
112,0.40033
113,0.399479
114,0.398663
115,0.396823
116,0.396215
117,0.394132
118,0.391389
119,0.390833
120,0.38217
121,0.38599
122,0.390868
123,0.392795
124,0.398073
125,0.403003
126,0.40467
127,0.409253
128,0.413316
129,0.414115
130,0.417326
131,0.420938
132,0.422639
133,0.425625
134,0.427535
135,0.427812
136,0.431042
137,0.433628
138,0.432135
139,0.433021
140,0.430399
141,0.431823
142,0.430052
143,0.429948
144,0.429566
145,0.419601
146,0.419132
147,0.419635
148,0.419288
149,0.418281
150,0.416649
151,0.414149
152,0.411545
153,0.409653
154,0.407118
155,0.402569
156,0.399531
157,0.397917
158,0.393611
159,0.392865
160,0.389635
161,0.388247
162,0.386684
163,0.384931
164,0.381875
165,0.380955
166,0.378785
167,0.377014
168,0.376684
169,0.377569
170,0.36934
171,0.370799
172,0.369635
173,0.367118
174,0.36592
175,0.364201
176,0.364184
177,0.363611
178,0.364323
179,0.36309
180,0.362483
181,0.361649
182,0.361875
183,0.359653
184,0.361701
185,0.360556
186,0.361076
187,0.358819
188,0.357708
189,0.358056
190,0.357951
191,0.356319
192,0.355382
193,0.35474
194,0.354549
195,0.350799
196,0.351024
197,0.350799
198,0.350573
199,0.350642
200,0.350417
201,0.350573
202,0.350295
203,0.350313
204,0.35059
205,0.349983
206,0.349983
207,0.349983
208,0.349774
209,0.350104
210,0.350156
211,0.350816
212,0.350243
213,0.350469
214,0.350191
215,0.350451
216,0.350851
217,0.350556
218,0.350503
219,0.350503
220,0.351007
221,0.351719
222,0.352031
223,0.352101
224,0.351632
225,0.351823
226,0.351076
227,0.351597
228,0.351302
229,0.35125
230,0.350868
231,0.35092
232,0.350122
233,0.350469
234,0.349653
235,0.349913
236,0.350625
237,0.350538
238,0.349757
239,0.348854
240,0.348316
241,0.348003
242,0.348941
243,0.34809
244,0.348403
245,0.348455
246,0.348837
247,0.34908
248,0.349201
249,0.350069
250,0.351024
251,0.350417
252,0.350278
253,0.350208
254,0.350017
255,0.349861
256,0.350538
257,0.351406
258,0.351111
259,0.350712
260,0.350868
261,0.350955
262,0.350365
263,0.350191
264,0.349531
265,0.349132
266,0.348715
267,0.34875
268,0.348299
269,0.348038
270,0.343472
271,0.343125
272,0.343351
273,0.342882
274,0.342951
275,0.342743
276,0.341771
277,0.341528
278,0.340938
279,0.340625
280,0.340747
281,0.34191
282,0.342795
283,0.344271
284,0.34526
285,0.345486
286,0.346111
287,0.347431
288,0.347587
289,0.347813
290,0.347292
291,0.346701
292,0.34625
293,0.345174
294,0.344479
295,0.340521
296,0.34
297,0.339792
298,0.338368
299,0.337448
300,0.337118
301,0.336476
302,0.336753
303,0.33651
304,0.33658
305,0.336597
306,0.337031
307,0.337691
308,0.337674
309,0.337917
310,0.338646
311,0.338368
312,0.338177
313,0.337569
314,0.338333
315,0.338542
316,0.338628
317,0.338438
318,0.338559
319,0.338403
320,0.34033
321,0.341493
322,0.341233
323,0.341146
324,0.341458
325,0.34151
326,0.342031
327,0.34224
328,0.341927
329,0.34217
330,0.341771
331,0.342274
332,0.3425
333,0.342778
334,0.342743
335,0.34276
336,0.342865
337,0.34309
338,0.342795
339,0.342865
340,0.343438
341,0.343472
342,0.343611
343,0.345399
344,0.347708
345,0.350313
346,0.353455
347,0.35566
348,0.356997
349,0.360382
350,0.362049
351,0.362656
352,0.365208
353,0.367101
354,0.368108
355,0.369601
356,0.371319
357,0.372309
358,0.374306
359,0.375885
360,0.376042
361,0.377448
362,0.378385
363,0.378594
364,0.378194
365,0.377604
366,0.376997
367,0.37691
368,0.375486
369,0.37467
370,0.36908
371,0.369323
372,0.369375
373,0.369288
374,0.368333
375,0.367448
376,0.367014
377,0.366615
378,0.365434
379,0.364583
380,0.363594
381,0.362934
382,0.3625
383,0.361493
384,0.361233
385,0.361736
386,0.363611
387,0.362552
388,0.365451
389,0.367066
390,0.368264
391,0.372361
392,0.376424
393,0.378038
394,0.381719
395,0.379288
396,0.381337
397,0.38474
398,0.388576
399,0.388924
400,0.39092
401,0.392743
402,0.394149
403,0.396094
404,0.39691
405,0.397934
406,0.399115
407,0.402465
408,0.402865
409,0.407934
410,0.41099
411,0.412431
412,0.414462
413,0.418038
414,0.41901
415,0.424549
416,0.427135
417,0.428472
418,0.431354
419,0.434479
420,0.432587
421,0.439774
422,0.441545
423,0.442656
424,0.449809
425,0.454462
426,0.456736
427,0.463142
428,0.467847
429,0.471094
430,0.476198
431,0.481441
432,0.485295
433,0.491806
434,0.497847
435,0.498385
436,0.504115
437,0.508368
438,0.510903
439,0.516424
440,0.519427
441,0.523802
442,0.527309
443,0.529757
444,0.530451
445,0.538628
446,0.540608
447,0.541198
448,0.545712
449,0.548837
450,0.549687
451,0.553698
452,0.555017
453,0.554705
454,0.556128
455,0.559549
456,0.558854
457,0.561181
458,0.563715
459,0.564896
460,0.56691
461,0.569601
462,0.571319
463,0.572674
464,0.575937
465,0.576632
466,0.578802
467,0.579479
468,0.579983
469,0.580191
470,0.595156
471,0.596875
472,0.596875
473,0.597049
474,0.597361
475,0.597535
476,0.598177
477,0.598837
478,0.599844
479,0.601788
480,0.601302
481,0.60375
482,0.603056
483,0.602413
484,0.602622
485,0.60375
486,0.602812
487,0.601944
488,0.602274
489,0.60375
490,0.603229
491,0.603646
492,0.603594
493,0.604653
494,0.605573
495,0.602535
496,0.602708
497,0.604028
498,0.603611
499,0.604115
500,0.60342
501,0.603212
502,0.603854
503,0.602934
504,0.60342
505,0.602552
506,0.601962
507,0.60033
508,0.601285
509,0.600972
510,0.599688
511,0.600712
512,0.600608
513,0.600833
514,0.603437
515,0.605538
516,0.607101
517,0.614514
518,0.621302
519,0.625816
520,0.644271
521,0.645208
522,0.65
523,0.657257
524,0.665469
525,0.670556
526,0.67474
527,0.678385
528,0.681823
529,0.682951
530,0.687135
531,0.688229
532,0.691059
533,0.689063
534,0.690556
535,0.692656
536,0.692031
537,0.691458
538,0.692326
539,0.692656
540,0.692205
541,0.693646
542,0.695382
543,0.695312
544,0.696302
545,0.709306
546,0.708993
547,0.708073
548,0.706736
549,0.705417
550,0.705451
551,0.704601
552,0.705174
553,0.705382
554,0.704236
555,0.702778
556,0.701875
557,0.701128
558,0.70151
559,0.700174
560,0.700174
561,0.700017
562,0.700573
563,0.700851
564,0.701632
565,0.701198
566,0.701215
567,0.701736
568,0.700851
569,0.701285
570,0.695191
571,0.695868
572,0.693576
573,0.694045
574,0.694757
575,0.69434
576,0.693802
577,0.693507
578,0.693715
579,0.693524
580,0.693385
581,0.693108
582,0.692639
583,0.692431
584,0.693142
585,0.692326
586,0.692587
587,0.692917
588,0.693646
589,0.693889
590,0.693889
591,0.693663
592,0.694271
593,0.697951
594,0.699028
595,0.717778
596,0.721562
597,0.724601
598,0.731042
599,0.732361
600,0.735503
601,0.736458
602,0.73717
603,0.7375
604,0.739323
605,0.739497
606,0.739774
607,0.742726
608,0.748073
609,0.750122
610,0.756042
611,0.75783
612,0.759271
613,0.760399
614,0.761319
615,0.763368
616,0.763403
617,0.764566
618,0.764809
619,0.76408
620,0.784618
621,0.78342
622,0.783264
623,0.783281
