framenum,queue density
5,0.260933
10,0.256051
15,0.253343
20,0.249506
25,0.246085
30,0.245415
35,0.246356
40,0.25127
45,0.252708
50,0.260248
55,0.269457
60,0.274006
65,0.283842
70,0.292942
75,0.29579
80,0.302339
85,0.309404
90,0.310858
95,0.317391
100,0.316532
105,0.319926
110,0.324311
115,0.328986
120,0.330283
125,0.330942
130,0.329331
135,0.329386
140,0.325687
145,0.325028
150,0.324699
155,0.322238
160,0.322936
165,0.322124
170,0.321721
175,0.322994
180,0.323331
185,0.322301
190,0.324146
195,0.32564
200,0.324538
205,0.326051
210,0.325777
215,0.323273
220,0.322136
225,0.310047
230,0.309894
235,0.308483
240,0.307406
245,0.306026
250,0.305117
255,0.304721
260,0.302648
265,0.302096
270,0.30141
275,0.299972
280,0.29978
285,0.299517
290,0.29965
295,0.299713
300,0.29978
305,0.299427
310,0.299823
315,0.298561
320,0.297934
325,0.297766
330,0.29699
335,0.296845
340,0.296006
345,0.296206
350,0.290939
355,0.291496
360,0.292797
365,0.294309
370,0.295986
375,0.296453
380,0.298204
385,0.297793
390,0.297883
395,0.296073
400,0.29757
405,0.298882
410,0.300599
415,0.30351
420,0.304898
425,0.30978
430,0.316129
435,0.31886
440,0.327219
445,0.335401
450,0.337513
455,0.344955
460,0.350712
465,0.353502
470,0.361135
475,0.370345
480,0.373041
485,0.379926
490,0.384965
495,0.390773
500,0.395648
505,0.400656
510,0.403254
515,0.407894
520,0.409791
525,0.410214
530,0.40896
535,0.409262
540,0.408509
545,0.40769
550,0.405425
555,0.406738
560,0.40347
565,0.402137
570,0.400668
575,0.398846
580,0.398019
585,0.395087
590,0.393136
595,0.392219
600,0.383394
605,0.386611
610,0.391212
615,0.393473
620,0.399237
625,0.403595
630,0.406091
635,0.410574
640,0.414011
645,0.41572
650,0.418161
655,0.422574
660,0.423663
665,0.426461
670,0.427539
675,0.429102
680,0.431943
685,0.433264
690,0.432794
695,0.433989
700,0.432112
705,0.433287
710,0.431148
715,0.431163
720,0.430223
725,0.419874
730,0.420371
735,0.421065
740,0.419341
745,0.418859
750,0.417083
755,0.414305
760,0.412005
765,0.410288
770,0.408129
775,0.403599
780,0.400613
785,0.397603
790,0.393716
795,0.392748
800,0.389715
805,0.388531
810,0.387477
815,0.385624
820,0.383414
825,0.381791
830,0.380071
835,0.378288
840,0.377916
845,0.377292
850,0.370156
855,0.370505
860,0.369443
865,0.36717
870,0.366724
875,0.364705
880,0.364655
885,0.363949
890,0.364028
895,0.363632
900,0.362515
905,0.362002
910,0.360912
915,0.360238
920,0.360414
925,0.360097
930,0.359823
935,0.358365
940,0.357095
945,0.356982
950,0.35648
955,0.355927
960,0.355657
965,0.354458
970,0.353843
975,0.350418
980,0.350457
985,0.350857
990,0.350488
995,0.350159
1000,0.350147
1005,0.349955
1010,0.350167
1015,0.350151
1020,0.350237
1025,0.349567
1030,0.349399
1035,0.349332
1040,0.349003
1045,0.349297
1050,0.349258
1055,0.349818
1060,0.349634
1065,0.34965
1070,0.349399
1075,0.349458
1080,0.349979
1085,0.349583
1090,0.349634
1095,0.34961
1100,0.349877
1105,0.350147
1110,0.350194
1115,0.350598
1120,0.35021
1125,0.350398
1130,0.349873
1135,0.350335
1140,0.350096
1145,0.349947
1150,0.349861
1155,0.349998
1160,0.349513
1165,0.34994
1170,0.349587
1175,0.349947
1180,0.350077
1185,0.349783
1190,0.349481
1195,0.348356
1200,0.348208
1205,0.347702
1210,0.348321
1215,0.347753
1220,0.348098
1225,0.346856
1230,0.347373
1235,0.34751
1240,0.347588
1245,0.348325
1250,0.349168
1255,0.349219
1260,0.34916
1265,0.349148
1270,0.34916
1275,0.348944
1280,0.349469
1285,0.349846
1290,0.349783
1295,0.349501
1300,0.349654
1305,0.349544
1310,0.348944
1315,0.348819
1320,0.348086
1325,0.34778
1330,0.347353
1335,0.34731
1340,0.347134
1345,0.346762
1350,0.342659
1355,0.342302
1360,0.34269
1365,0.342643
1370,0.342435
1375,0.342043
1380,0.341381
1385,0.340903
1390,0.340409
1395,0.340076
1400,0.340354
1405,0.341291
1410,0.341926
1415,0.343446
1420,0.344532
1425,0.344575
1430,0.34512
1435,0.346162
1440,0.346334
1445,0.34664
1450,0.345958
1455,0.345374
1460,0.345135
1465,0.344077
1470,0.343423
1475,0.339849
1480,0.339144
1485,0.338885
1490,0.337976
1495,0.337094
1500,0.336918
1505,0.336232
1510,0.336306
1515,0.335809
1520,0.335926
1525,0.336056
1530,0.336393
1535,0.336628
1540,0.336706
1545,0.336506
1550,0.336976
1555,0.337333
1560,0.337208
1565,0.336843
1570,0.337553
1575,0.337815
1580,0.337929
1585,0.337897
1590,0.337776
1595,0.337458
1600,0.340425
1605,0.341052
1610,0.340644
1615,0.340648
1620,0.340974
1625,0.341177
1630,0.34142
1635,0.341589
1640,0.34162
1645,0.341593
1650,0.341557
1655,0.34171
1660,0.342204
1665,0.342216
1670,0.342361
1675,0.342451
1680,0.342518
1685,0.342666
1690,0.34249
1695,0.342553
1700,0.34296
1705,0.343203
1710,0.343607
1715,0.345359
1720,0.347584
1725,0.350089
1730,0.352659
1735,0.355308
1740,0.356762
1745,0.359686
1750,0.361582
1755,0.362491
1760,0.364776
1765,0.366802
1770,0.368138
1775,0.369647
1780,0.3717
1785,0.372519
1790,0.373981
1795,0.375482
1800,0.376038
1805,0.377406
1810,0.378225
1815,0.378519
1820,0.378503
1825,0.377947
1830,0.377151
1835,0.37714
1840,0.375768
1845,0.375043
1850,0.368601
1855,0.368859
1860,0.369157
1865,0.368573
1870,0.367703
1875,0.36719
1880,0.366653
1885,0.366144
1890,0.36487
1895,0.363973
