framenum,queue density,dynamic density
250,0.349168,0.0111762
251,0.349219,0.0104121
252,0.34916,0.00824111
253,0.349148,0.00806085
254,0.34916,0.00745736
255,0.348944,0.00607013
256,0.349469,0.00620729
257,0.349846,0.00592122
258,0.349783,0.00615242
259,0.349501,0.00648944
260,0.349654,0.00661483
261,0.349544,0.0064816
262,0.348944,0.00646984
263,0.348819,0.00697536
264,0.348086,0.0071713
265,0.34778,0.00781005
266,0.347353,0.00783748
267,0.34731,0.00694401
268,0.347134,0.00740642
269,0.346762,0.00716346
270,0.342659,0.0114192
271,0.342302,0.0111958
272,0.34269,0.0110587
273,0.342643,0.0102632
274,0.342435,0.0108118
275,0.342043,0.0104395
276,0.341381,0.00993009
277,0.340903,0.00783356
278,0.340409,0.0070263
279,0.340076,0.00673632
280,0.340354,0.0067324
281,0.341291,0.00741034
282,0.341926,0.00775911
283,0.343446,0.00812747
284,0.344532,0.00931877
285,0.344575,0.00866042
286,0.34512,0.0090954
287,0.346162,0.00961659
288,0.346334,0.00910324
289,0.34664,0.0097028
290,0.345958,0.00894649
291,0.345374,0.00831557
292,0.345135,0.00905229
293,0.344077,0.00881325
294,0.343423,0.0074848
295,0.339849,0.0125752
296,0.339144,0.0111449
297,0.338885,0.0102318
298,0.337976,0.0100868
299,0.337094,0.00956565
300,0.336918,0.00867217
301,0.336232,0.00863691
302,0.336306,0.00642282
303,0.335809,0.00622688
304,0.335926,0.00610932
305,0.336056,0.00590946
306,0.336393,0.00502774
307,0.336628,0.00557245
308,0.336706,0.00641498
309,0.336506,0.00683037
310,0.336976,0.00771992
311,0.337333,0.00743777
312,0.337208,0.00760236
313,0.336843,0.0102122
314,0.337553,0.0103572
315,0.337815,0.010945
316,0.337929,0.0113839
317,0.337897,0.0117993
318,0.337776,0.0103729
319,0.337458,0.0108823
320,0.340425,0.0177597
321,0.341052,0.0164509
322,0.340644,0.0161531
323,0.340648,0.0155378
324,0.340974,0.01495
325,0.341177,0.0146091
326,0.34142,0.0145464
327,0.341589,0.0102005
328,0.34162,0.0107374
329,0.341593,0.0105218
330,0.341557,0.00938147
331,0.34171,0.0099732
332,0.342204,0.00985171
333,0.342216,0.00913067
334,0.342361,0.00894257
335,0.342451,0.00750831
336,0.342518,0.00668929
337,0.342666,0.00680293
338,0.34249,0.00587811
339,0.342553,0.00567826
340,0.34296,0.00653254
341,0.343203,0.00649727
342,0.343607,0.00655997
343,0.345359,0.00961267
344,0.347584,0.0120345
345,0.350089,0.0184729
346,0.352659,0.0204519
347,0.355308,0.021314
348,0.356762,0.0212357
349,0.359686,0.02151
350,0.361582,0.0221174
351,0.362491,0.0229442
352,0.364776,0.0210123
353,0.366802,0.022039
354,0.368138,0.0223211
355,0.369647,0.0231872
356,0.3717,0.0230618
357,0.372519,0.0219528
358,0.373981,0.021992
359,0.375482,0.0214159
360,0.376038,0.0193547
361,0.377406,0.0196211
362,0.378225,0.0191705
363,0.378519,0.0175246
364,0.378503,0.017795
365,0.377947,0.018085
366,0.377151,0.0177401
367,0.37714,0.017701
368,0.375768,0.0175442
369,0.375043,0.0166194
370,0.368601,0.0218862
371,0.368859,0.0208359
372,0.369157,0.0189785
373,0.368573,0.0193782
374,0.367703,0.0193233
375,0.36719,0.0184416
376,0.366653,0.0193468
377,0.366144,0.0166194
378,0.36487,0.0159454
379,0.363973,0.0158983
380,0.363154,0.0151107
381,0.362468,0.0142995
382,0.361845,0.0147697
383,0.361304,0.0144719
384,0.360916,0.0138096
385,0.361284,0.0146757
386,0.363283,0.0163725
387,0.362958,0.0161374
388,0.36556,0.0178224
389,0.367421,0.0191548
390,0.36844,0.0193233
391,0.37259,0.0223525
392,0.376325,0.0248997
393,0.377618,0.024496
394,0.381062,0.0274233
395,0.378217,0.0310991
396,0.38004,0.030476
397,0.38428,0.0328626
398,0.387007,0.0342733
399,0.387842,0.0337678
400,0.38968,0.0358761
401,0.39149,0.0365344
402,0.392595,0.0333485
403,0.394903,0.0358251
404,0.396063,0.0370243
405,0.396961,0.0369067
406,0.398626,0.0396616
407,0.401032,0.041378
408,0.402,0.0417463
409,0.406264,0.0462059
410,0.409128,0.0492938
411,0.410829,0.0492899
412,0.412941,0.0530558
413,0.416958,0.0555599
414,0.418224,0.0548545
415,0.422883,0.0590202
416,0.425556,0.0633033
417,0.427049,0.0623276
418,0.430019,0.0680881
